Nome,Ano,Quantidade (kg)
Bagaceira,1970,961290
Bagaceira,1971,913200
Bagaceira,1972,755350
Bagaceira,1973,661270
Bagaceira,1974,424620
Bagaceira,1975,576098
Bagaceira,1976,705912
Bagaceira,1977,828000
Bagaceira,1978,698200
Bagaceira,1979,938090
Bagaceira,1980,0
Bagaceira,1981,0
Bagaceira,1982,0
Bagaceira,1983,0
Bagaceira,1984,0
Bagaceira,1985,299500
Bagaceira,1986,156100
Bagaceira,1987,325600
Bagaceira,1988,29000
Bagaceira,1989,52000
Bagaceira,1990,55000
Bagaceira,1991,15000
Bagaceira,1992,10000
Bagaceira,1993,0
Bagaceira,1994,0
Bagaceira,1995,0
Bagaceira,1996,0
Bagaceira,1997,0
Bagaceira,1998,0
Bagaceira,1999,0
Bagaceira,2000,12700
Bagaceira,2001,10350
Bagaceira,2002,0
Bagaceira,2003,26800
Bagaceira,2004,66082
Bagaceira,2005,32050
Bagaceira,2006,24250
Bagaceira,2007,48500
Bagaceira,2008,8500
Bagaceira,2009,6500
Bagaceira,2010,0
Bagaceira,2011,0
Bagaceira,2012,0
Bagaceira,2013,0
Bagaceira,2014,0
Bagaceira,2015,1350
Bagaceira,2016,1000
Bagaceira,2017,900
Bagaceira,2018,2100
Bagaceira,2019,10495
Bagaceira,2020,0
Bagaceira,2021,12060
Bagaceira,2022,4998
Bagaceira,2023,0
Base Champenoise champanha,1970,0
Base Champenoise champanha,1971,0
Base Champenoise champanha,1972,0
Base Champenoise champanha,1973,0
Base Champenoise champanha,1974,0
Base Champenoise champanha,1975,0
Base Champenoise champanha,1976,0
Base Champenoise champanha,1977,0
Base Champenoise champanha,1978,0
Base Champenoise champanha,1979,0
Base Champenoise champanha,1980,0
Base Champenoise champanha,1981,0
Base Champenoise champanha,1982,0
Base Champenoise champanha,1983,0
Base Champenoise champanha,1984,0
Base Champenoise champanha,1985,0
Base Champenoise champanha,1986,0
Base Champenoise champanha,1987,0
Base Champenoise champanha,1988,0
Base Champenoise champanha,1989,0
Base Champenoise champanha,1990,0
Base Champenoise champanha,1991,0
Base Champenoise champanha,1992,0
Base Champenoise champanha,1993,0
Base Champenoise champanha,1994,0
Base Champenoise champanha,1995,0
Base Champenoise champanha,1996,0
Base Champenoise champanha,1997,0
Base Champenoise champanha,1998,0
Base Champenoise champanha,1999,0
Base Champenoise champanha,2000,0
Base Champenoise champanha,2001,0
Base Champenoise champanha,2002,0
Base Champenoise champanha,2003,0
Base Champenoise champanha,2004,0
Base Champenoise champanha,2005,0
Base Champenoise champanha,2006,0
Base Champenoise champanha,2007,0
Base Champenoise champanha,2008,0
Base Champenoise champanha,2009,0
Base Champenoise champanha,2010,92082
Base Champenoise champanha,2011,74746
Base Champenoise champanha,2012,369278
Base Champenoise champanha,2013,359617
Base Champenoise champanha,2014,234725
Base Champenoise champanha,2015,605001
Base Champenoise champanha,2016,740395
Base Champenoise champanha,2017,1552403
Base Champenoise champanha,2018,228518
Base Champenoise champanha,2019,274903
Base Champenoise champanha,2020,200777
Base Champenoise champanha,2021,0
Base Champenoise champanha,2022,1146717
Base Champenoise champanha,2023,1552243
Base Charmat champanha,1970,0
Base Charmat champanha,1971,0
Base Charmat champanha,1972,0
Base Charmat champanha,1973,0
Base Charmat champanha,1974,0
Base Charmat champanha,1975,0
Base Charmat champanha,1976,0
Base Charmat champanha,1977,0
Base Charmat champanha,1978,0
Base Charmat champanha,1979,0
Base Charmat champanha,1980,0
Base Charmat champanha,1981,0
Base Charmat champanha,1982,0
Base Charmat champanha,1983,0
Base Charmat champanha,1984,0
Base Charmat champanha,1985,0
Base Charmat champanha,1986,0
Base Charmat champanha,1987,0
Base Charmat champanha,1988,0
Base Charmat champanha,1989,0
Base Charmat champanha,1990,0
Base Charmat champanha,1991,0
Base Charmat champanha,1992,0
Base Charmat champanha,1993,0
Base Charmat champanha,1994,0
Base Charmat champanha,1995,0
Base Charmat champanha,1996,0
Base Charmat champanha,1997,0
Base Charmat champanha,1998,0
Base Charmat champanha,1999,0
Base Charmat champanha,2000,0
Base Charmat champanha,2001,0
Base Charmat champanha,2002,0
Base Charmat champanha,2003,0
Base Charmat champanha,2004,0
Base Charmat champanha,2005,0
Base Charmat champanha,2006,0
Base Charmat champanha,2007,0
Base Charmat champanha,2008,0
Base Charmat champanha,2009,0
Base Charmat champanha,2010,254000
Base Charmat champanha,2011,865858
Base Charmat champanha,2012,479625
Base Charmat champanha,2013,624728
Base Charmat champanha,2014,376968
Base Charmat champanha,2015,1466259
Base Charmat champanha,2016,250280
Base Charmat champanha,2017,893364
Base Charmat champanha,2018,1746540
Base Charmat champanha,2019,1188095
Base Charmat champanha,2020,2487939
Base Charmat champanha,2021,0
Base Charmat champanha,2022,4078766
Base Charmat champanha,2023,5418118
Base espumante,1970,0
Base espumante,1971,0
Base espumante,1972,0
Base espumante,1973,0
Base espumante,1974,0
Base espumante,1975,0
Base espumante,1976,0
Base espumante,1977,0
Base espumante,1978,0
Base espumante,1979,0
Base espumante,1980,0
Base espumante,1981,0
Base espumante,1982,0
Base espumante,1983,0
Base espumante,1984,0
Base espumante,1985,0
Base espumante,1986,0
Base espumante,1987,0
Base espumante,1988,0
Base espumante,1989,0
Base espumante,1990,0
Base espumante,1991,0
Base espumante,1992,0
Base espumante,1993,0
Base espumante,1994,0
Base espumante,1995,0
Base espumante,1996,0
Base espumante,1997,0
Base espumante,1998,0
Base espumante,1999,0
Base espumante,2000,0
Base espumante,2001,0
Base espumante,2002,0
Base espumante,2003,0
Base espumante,2004,0
Base espumante,2005,239000
